We do not believe that we should cherry-pick . ||| Wir glauben nicht , daß wir nur Rosinen herauspicken sollten .
It is also important to bear in mind that there are a wide range of measures, which can be taken in applying the precautionary principle. For example, a research programme, public information campaigns, recommendations and so on. ||| Ferner muß man sich vor Augen halten, daß ein breites Spektrum an Maßnahmen denkbar ist, wenn das Vorsorgeprinzip zum Einsatz kommt, z. B. ein Forschungsprogramm, Kampagnen zur Unterrichtung der Öffentlichkeit, Empfehlungen usw. Der Einsatz des Vorsorgeprinzips bedeutet deshalb nicht automatisch ein Verbot.
This communication does not pretend to be the final word on this issue; however, it is the first time that the Commission has presented a structured presentation of the principle and its operational use. ||| Diese Mitteilung erhebt nicht den Anspruch, das letzte Wort zu diesem Thema gewesen zu sein. Es ist das erste Mal, daß die Kommission einen strukturierten Text zu diesem Prinzip und seiner praktischen Anwendung vorgelegt hat.
By setting out in some detail how the Commission applies, and intends to apply, the precautionary principle, we hope to be able to clarify the situation at Community level and to contribute to the ongoing debate at European and international level. ||| Wir hoffen, daß wir durch die ausführliche Darstellung, wie die Kommission das Vorsorgeprinzip anwendet bzw. anzuwenden gedenkt, die Situation auf Gemeinschaftsebene klären und zu der laufenden Diskussion auf europäischer und internationaler Ebene beitragen können.
Mr President, Commissioner, thank you very much for your statement. ||| Herr Präsident, Frau Kommissarin! Vielen Dank für die Erklärung.
I have three short questions, the first being as follows. ||| Ich habe drei ganz kurze Fragen.
We have been awaiting a common communication from the Commission on the precautionary principle for a very long time now and it was anything but clear in the past as to whether the Commission speaks with one voice. ||| Die erste Frage: Wir haben sehr lange auf eine abgestimmte Stellungnahme der Kommission zum Vorsorgeprinzip warten müssen, und in der Vergangenheit war es überhaupt nicht klar, ob die Kommission mit einer Stimme spricht.
Does the document you have presented here today also accord with the opinion of your colleagues the Commissioners for Industry, Foreign Trade, Competition and the Internal Market? ||| Ist das, was Sie heute hier vorgetragen haben, auch die Meinung Ihres Kollegen Industriekommissar, Ihres Kollegen Außenhandelskommissar, Ihres Kollegen Wettbewerbskommissar, Ihres Kollegen Binnenmarktkommissar?
I am sure that your answer to this will be "yes" but I would be grateful if you could tell me if these gentlemen are also aware as to what the consequences of this will be? ||| Sie werden sicher Ja sagen, aber ich möchte von Ihnen wissen: Wissen die Herren auch, was das in der Konsequenz bedeutet?
My next question, Mrs Wallström, is when will you begin to apply this principle to legislation; to legislation pertaining to chemicals or other sectors, for example? ||| Die nächste Frage, Frau Wallström: Wann werden Sie beginnen, dies in der Gesetzgebung anzuwenden, zum Beispiel bei Chemikaliengesetzgebungen, zum Beispiel bei Gesetzgebungen in anderen Bereichen?
Lastly, will we be able to recognise when this principle has been applied in legislation? ||| Die letzte Frage: Werden wir erkennen können, wo dies in den Gesetzgebungen angewandt wurde?
In other words, will each proposal contain an additional sheet stating that checks have been made as to the application of the precautionary principle and the following conclusion has been reached? ||| Das heißt, wird es einen Extrabogen geben in jedem Vorschlag, der sagt, das Vorsorgeprinzip ist überprüft worden, und man ist zu diesem Ergebnis gekommen?
. Thank you very much, Dagmar Roth-Behrendt, for these questions. ||| Vielen Dank, Frau Roth-Behrendt, für diese Fragen.
Of course, this is shared by the whole Commission. ||| Natürlich teilt die gesamte Kommission diese Auffassung.
This is a common communication which was written by the three of us, David Byrne, Erkki Liikanen and myself, but it has been passed unanimously in the Commission today. ||| Dies ist eine gemeinsame Mitteilung, die von uns dreien, David Byrne, Erkki Liikanen und mir selbst, erstellt wurde, die aber außerdem heute einstimmig in der Kommission verabschiedet wurde.
It received strong support from the rest of the Commissioners and it has been through an interservice consultation in the whole of the Commission. ||| Sie stieß bei den übrigen Kommissaren auf große Unterstützung und ist das Ergebnis einer Konsultation der verschiedenen Dienststellen innerhalb der Kommission.
So we have really worked through this document and I am sure that they are all able to describe the guidelines and the principles as laid down in this document. ||| Wir haben dieses Dokument also wirklich gut durchgearbeitet, und ich bin sicher, daß alle in der Lage sind, die Leitlinien und Grundsätze, die in diesem Dokument dargelegt werden, zu erläutern.
Yes, I would say we already use this way of working with different, difficult issues like a new chemical strategy for example. ||| Ja, ich würde sogar sagen, daß wir diese Arbeitsmethode bei verschiedenen schwierigen Themen, wie z. B. bei der Frage einer neuen Strategie im Bereich der Chemikalien, schon jetzt anwenden.
And, I am sure that we will also mention it explicitly when we work with this principle. ||| Und ich bin sicher, daß wir auch ausdrücklich darauf hinweisen werden, wenn wir mit diesem Prinzip arbeiten.
We have just recently had a case of using the precautionary principle when it came to ban phthalates in soft PVC toys; and of course, we apply it in several different environmental areas. ||| Gerade vor kurzem haben wir das Vorsorgeprinzip in einem Fall angewandt, in dem es um das Verbot von Phthalaten in Spielzeug aus weichem PVC ging, und natürlich greifen wir in diversen Umweltbereichen darauf zurück.
It has been mainly used in the environmental field, but, of course also when it comes to human health. ||| Es kam vor allem im Umweltbereich zum Einsatz, aber auch bei Fragen der menschlichen Gesundheit.
So, we will try to be very clear about how and when to use it. ||| Wir werden also versuchen, sehr deutlich zu machen, wie und wann es anzuwenden ist.
Mr President, Commissioner, regarding the relationship between science, on the one hand, and applying the precautionary principle on the other, the communication states that invoking that precautionary principle always requires a political decision if there is a lack of scientific evidence. ||| Herr Präsident, Frau Kommissarin! Zu dem Verhältnis zwischen der Wissenschaft und dem Rückgriff auf das Vorsorgeprinzip heißt es in der Mitteilung, für die Anwendung des Vorsorgeprinzips sei gerade dann eine politische Entscheidung erforderlich, wenn die Wissenschaft noch keine Beweise hat.
Needless to say, this accords science a great deal of power. ||| Dadurch überträgt man der Wissenschaft natürlich ein hohes Maß an Macht.
We might ask ourselves, what kind of scientists will supply this documentation and what do they stand for? ||| Wir können uns die Frage stellen, welche Wissenschaftler diese Dokumentation liefern werden und was sie verteidigen.
The communication also states that the precautionary principle can be applied, provided there is a sufficient recognised minority of scientists. I would like to ask, what is, then, the definition of a recognised minority? ||| Da in der Mitteilung auch steht, eine hinreichend anerkannte Minderheit von Wissenschaftlern sei ausreichend, um das Vorsorgeprinzip anzuwenden, frage ich: Wie lautet denn die Definition einer anerkannten Minderheit?
How would you describe this? ||| Wie beschreiben Sie diese?
What establishes a recognised minority? ||| Wie kommen Sie zu einer anerkannten Minderheit?
If a political decision is involved, I would also like to ask: who takes this political decision? ||| Bezüglich der politischen Entscheidung lautet meine Frage: Wer trifft diese politische Entscheidung?
The Commission? ||| Die Kommission?
The Council? ||| Oder der Rat?
And to what extent will the European Parliament be able to play a role in this? ||| Inwieweit wird das Europäische Parlament dabei eine Rolle spielen können?
What is the role of the scientific committees? ||| Welche Rolle ist den wissenschaftlichen Ausschüssen zugedacht?
What, also, will be the role of the food authorities which you are about to set up? ||| Wie wird die Rolle der Nahrungsmittelbehörden, die Sie einrichten werden, aussehen?
Finally, will this whole decision-making process be carried out in a transparent, public way? ||| Abschließend: Wird diese Entscheidungsfindung transparent, öffentlich erfolgen?
These are my three questions. ||| Das sind meine drei Fragen.
. Yes, Mr President, that is true. ||| Ja, Herr Präsident, das ist richtig.
There were many and difficult issues and not always crystal clear, but I will try to answer some questions. ||| Es gab viele schwierige Themen, die nicht immer sehr klar und deutlich waren, aber ich will versuchen, einige der Fragen zu beantworten.
Who will take the decision, who are the decision-makers? ||| Wer wird die Entscheidung treffen, wer sind die Entscheidungsträger?
Well, that depends on who the legislators are. ||| Nun, das hängt davon ab, wer die Gesetzgeber sind.
This is part of risk management. ||| Dies ist Teil des Risikomanagements.
